date,Ticker,Cumulative Return
2023-10-03,TRENT,
2023-10-03,TRENT,1.0
2023-10-04,TRENT,0.9821281142246613
2023-10-04,TRENT,0.9821281142246613
2023-10-05,TRENT,0.9944150356952067
2023-10-05,TRENT,0.9944150356952067
2023-10-06,TRENT,1.0063134379097665
2023-10-06,TRENT,1.0063134379097665
2023-10-09,TRENT,1.0096886989461418
2023-10-09,TRENT,1.0096886989461418
2023-10-10,TRENT,0.9959691127191493
2023-10-10,TRENT,0.9959691127191493
2023-10-11,TRENT,1.0204943907532418
2023-10-11,TRENT,1.0204943907532418
2023-10-12,TRENT,1.0087902481666746
2023-10-12,TRENT,1.0087902481666746
2023-10-13,TRENT,1.0124811810985381
2023-10-13,TRENT,1.0124811810985381
2023-10-16,TRENT,1.0235782623476275
2023-10-16,TRENT,1.0235782623476275
2023-10-17,TRENT,1.0096644164926423
2023-10-17,TRENT,1.0096644164926423
2023-10-18,TRENT,0.9950706619396822
2023-10-18,TRENT,0.9950706619396822
2023-10-19,TRENT,1.000728473604973
2023-10-19,TRENT,1.000728473604973
2023-10-20,TRENT,0.9888543538439125
2023-10-20,TRENT,0.9888543538439125
2023-10-23,TRENT,0.9673886649507067
2023-10-23,TRENT,0.9673886649507067
2023-10-25,TRENT,0.9680200087416833
2023-10-25,TRENT,0.9680200087416833
2023-10-26,TRENT,0.9864018260405032
2023-10-26,TRENT,0.9864018260405032
2023-10-27,TRENT,1.030595891408868
2023-10-27,TRENT,1.030595891408868
2023-10-30,TRENT,1.0294546160944102
2023-10-30,TRENT,1.0294546160944102
2023-10-31,TRENT,1.0464280510902821
2023-10-31,TRENT,1.0464280510902821
2023-11-01,TRENT,1.0672866786460107
2023-11-01,TRENT,1.0672866786460107
2023-11-02,TRENT,1.0634986159001507
2023-11-02,TRENT,1.0634986159001507
2023-11-03,TRENT,1.0667281822155312
2023-11-03,TRENT,1.0667281822155312
2023-11-06,TRENT,1.0845515030838717
2023-11-06,TRENT,1.0845515030838717
2023-11-07,TRENT,1.1772133456364435
2023-11-07,TRENT,1.1772133456364435
2023-11-08,TRENT,1.191224321305425
2023-11-08,TRENT,1.191224321305425
2023-11-09,TRENT,1.203462677868972
2023-11-09,TRENT,1.203462677868972
2023-11-10,TRENT,1.208950512359769
2023-11-10,TRENT,1.208950512359769
2023-11-12,TRENT,1.2113301928026812
2023-11-12,TRENT,1.2113301928026812
2023-11-13,TRENT,1.242800252537517
2023-11-13,TRENT,1.242800252537517
2023-11-15,TRENT,1.239934923024623
2023-11-15,TRENT,1.239934923024623
2023-11-16,TRENT,1.2358311883832747
2023-11-16,TRENT,1.2358311883832747
2023-11-17,TRENT,1.251226263901705
2023-11-17,TRENT,1.251226263901705
2023-11-20,TRENT,1.2737360982953723
2023-11-20,TRENT,1.2737360982953723
2023-11-21,TRENT,1.269365256665534
2023-11-21,TRENT,1.269365256665534
2023-11-22,TRENT,1.2758729542032932
2023-11-22,TRENT,1.2758729542032932
2023-11-23,TRENT,1.2894225632557919
2023-11-23,TRENT,1.2894225632557919
2023-11-24,TRENT,1.2868243407313877
2023-11-24,TRENT,1.2868243407313877
2023-11-28,TRENT,1.2975329027244915
2023-11-28,TRENT,1.2975329027244915
2023-11-29,TRENT,1.2997911708999081
2023-11-29,TRENT,1.2997911708999081
2023-11-30,TRENT,1.3535039580399209
2023-11-30,TRENT,1.3535039580399209
2023-12-01,TRENT,1.363556893788549
2023-12-01,TRENT,1.363556893788549
2023-12-04,TRENT,1.3680005827788848
2023-12-04,TRENT,1.3680005827788848
2023-12-05,TRENT,1.3961196639308444
2023-12-05,TRENT,1.3961196639308444
2023-12-06,TRENT,1.3927686853479684
2023-12-06,TRENT,1.3927686853479684
2023-12-07,TRENT,1.3817687339128755
2023-12-07,TRENT,1.3817687339128755
2023-12-08,TRENT,1.3798747025399458
2023-12-08,TRENT,1.3798747025399458
2023-12-11,TRENT,1.3993492302462254
2023-12-11,TRENT,1.3993492302462254
2023-12-12,TRENT,1.4003933757466867
2023-12-12,TRENT,1.4003933757466867
2023-12-13,TRENT,1.4391967364382507
2023-12-13,TRENT,1.4391967364382507
2023-12-14,TRENT,1.4495410616288682
2023-12-14,TRENT,1.4495410616288682
2023-12-15,TRENT,1.4519693069787785
2023-12-15,TRENT,1.4519693069787785
2023-12-18,TRENT,1.4430819289981072
2023-12-18,TRENT,1.4430819289981072
2023-12-19,TRENT,1.4573357292020799
2023-12-19,TRENT,1.4573357292020799
2023-12-20,TRENT,1.4321548249235114
2023-12-20,TRENT,1.4321548249235114
2023-12-21,TRENT,1.4351901316108993
2023-12-21,TRENT,1.4351901316108993
2023-12-22,TRENT,1.4401923170317144
2023-12-22,TRENT,1.4401923170317144
